id,value,short
Alabama ,740475,AL
Alaska ,131483,AK
Arizona ,990378,AZ
Arkansas ,486157,AR
California ,6178788,CA
Colorado ,863121,CO
Connecticut ,549295,CT
Delaware ,127791,DE
Florida ,2691881,FL
Georgia ,1702766,GA
Hawaii ,184760,HI
Idaho ,279277,ID
Illinois ,2031835,IL
Indiana ,1039797,IN
Iowa ,490630,IA
Kansas ,470283,KS
Kentucky ,675167,KY
Louisiana ,693980,LA
Maine ,179323,ME
Maryland ,856775,MD
Massachusetts ,952970,MA
Michigan ,1511030,MI
Minnesota ,845291,MN
Mississippi ,491220,MS
Missouri ,898402,MO
Montana ,142908,MT
Nebraska ,303332,NE
Nevada ,443158,NV
New Hampshire ,187940,NH
New Jersey ,1363967,NJ
New Mexico ,335922,NM
New York ,2708341,NY
North Carolina ,1506080,NC
North Dakota ,98993,ND
Ohio ,1656390,OH
Oklahoma ,665404,OK
Oregon ,533966,OR
Pennsylvania ,1716262,PA
Rhode Island ,141124,RI
South Carolina ,735998,SC
South Dakota ,130294,SD
Tennessee ,982312,TN
Texas ,5077507,TX
Utah ,600146,UT
Vermont ,83568,VT
Virginia ,1235561,VA
Washington ,1050904,WA
West Virginia ,283044,WV
Wisconsin ,871376,WI
Wyoming ,91533,WY
District of Columbia ,75411,DC
